f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.16,-16.55111936390411,-0.2078233808731988,-0.2078215189803947,-16.553645431905217
1.161,-16.536164924350537,-0.20825061769751457,-0.20824878688102735,-16.538686434767236
1.162,-16.521224220597365,-0.20867869599297428,-0.2086768963782794,-16.5237411800656
1.163,-16.506297250051187,-0.20910761744872886,-0.20910584915958916,-16.50880966520464
1.164,-16.49138401007212,-0.20953738374654043,-0.209535646905014,-16.493891887542425
1.165,-16.476484497974077,-0.2099679965607842,-0.2099662912872181,-16.478987844391003
1.166,-16.46159871102505,-0.21039945755843117,-0.2103977839714771,-16.464097533016712
1.167,-16.446726646447388,-0.21083176839905207,-0.21083012661566497,-16.449220950640445
1.168,-16.431868301418117,-0.21126493073480979,-0.2112633208702547,-16.434358094437954
1.169,-16.417023673069178,-0.21169894621045432,-0.21169736837830896,-16.419508961540103
1.17,-16.402192758487747,-0.21213381646332136,-0.2121322707754789,-16.404673549033173
1.171,-16.387375554716506,-0.21256954312331916,-0.2125680296899968,-16.38985185395912
1.172,-16.372572058753924,-0.213006127812938,-0.21300464674267583,-16.375043873315875
1.173,-16.357782267554523,-0.21344357214722814,-0.2134421235469017,-16.3602496040576
1.174,-16.343006178029206,-0.21388187773381018,-0.2138804617086263,-16.345469043095
1.175,-16.328243787045473,-0.21432104617286407,-0.21431966282637133,-16.330702187295543
1.176,-16.313495091427757,-0.21476107905712347,-0.2147597284912141,-16.31594903348381
1.177,-16.298760087957664,-0.2152019779718736,-0.21520066028678714,-16.301209578441686
1.178,-16.284038773374277,-0.21564374449494866,-0.21564245978927365,-16.286483818908717
1.179,-16.269331144374416,-0.2160863801967208,-0.21608512856741033,-16.271771751582325
1.18,-16.254637197612922,-0.21652988664010528,-0.21652866818246785,-16.257073373118118
1.181,-16.239956929702924,-0.21697426538054548,-0.21697308018825961,-16.24238868013012
1.182,-16.225290337216133,-0.2174195179660192,-0.2174183661311332,-16.227717669191094
1.183,-16.210637416683095,-0.21786564593702842,-0.217864527549962,-16.213060336832783
1.184,-16.195998164593487,-0.2183126508265928,-0.21831156597614973,-16.198416679546177
1.185,-16.18137257739635,-0.2187605341602532,-0.2187594829336201,-16.183786693781798
1.186,-16.166760651500418,-0.2192092974560604,-0.21920827993881237,-16.16917037594996
1.187,-16.152162383274337,-0.21965894222457538,-0.21965795850068265,-16.154567722421042
1.188,-16.137577769046967,-0.22010946996886405,-0.22010852012068874,-16.13997872952575
1.189,-16.12300680510764,-0.2205608821844936,-0.2205599662928084,-16.12540339355538
1.19,-16.10844948770643,-0.22101318035952625,-0.22101229850350307,-16.110841710762106
1.191,-16.093905813054427,-0.22146636597451752,-0.2214655182317461,-16.09629367735922
1.192,-16.079375777323996,-0.2219204405025147,-0.2219196269489995,-16.081759289521397
1.193,-16.064859376649043,-0.2223754054090476,-0.22237462611921124,-16.06723854338499
1.194,-16.050356607125295,-0.22283126215212862,-0.2228305171988228,-16.05273143504826
1.195,-16.03586746481055,-0.2232880121822495,-0.22328730163675256,-16.03823796057164
1.196,-16.021391945724957,-0.22374565694237175,-0.22374498087440217,-16.023758115978023
1.197,-16.006930045851263,-0.22420419786793572,-0.2242035563456443,-16.009291897253
1.198,-15.99248176113508,-0.2246636363868376,-0.22466302947682554,-15.994839300345134
1.199,-15.978047087485162,-0.22512397391944425,-0.2251234016867593,-15.980400321166197
1.2,-15.963626020773653,-0.22558521187858296,-0.22558467438672786,-15.965974955591463
1.201,-15.94921855683635,-0.22604735166953377,-0.22604684898046695,-15.951563199459924
1.202,-15.934824691472965,-0.2265103946900287,-0.22650992686417604,-15.937165048574604
1.203,-15.920444420447375,-0.2269743423302552,-0.22697390942650772,-15.922780498702755
1.204,-15.906077739487912,-0.2274391959728406,-0.22743879804856,-15.908409545576156
1.205,-15.891724644287573,-0.2279049569928573,-0.2279045941038887,-15.894052184891345
1.206,-15.87738513050433,-0.22837162675781902,-0.22837129895848476,-15.87970841230989
1.207,-15.86305919376133,-0.2288392066276715,-0.22883891397078163,-15.865378223458631
1.208,-15.848746829647208,-0.22930769795479725,-0.22930744049165733,-15.851061613929936
