f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.097,-15.322928595901264,-0.23303877488910824,-0.23300470656721983,-15.325277223972254
1.098,-15.311508221060976,-0.23347174816013622,-0.23343782949216077,-15.313854321721017
1.099,-15.30009692646331,-0.23390531793415742,-0.2338715504492639,-15.302440509896353
1.1,-15.288694711758888,-0.23433948511538327,-0.234305870326665,-15.291035788053371
1.101,-15.277301576575077,-0.23477425060331525,-0.23474079000783987,-15.279640155724692
1.102,-15.265917520516057,-0.2352096152927359,-0.2351763103716033,-15.268253612420512
1.103,-15.254542543162927,-0.2356455800737195,-0.2356124322921038,-15.25687615762873
1.104,-15.243176644073802,-0.23608214583161327,-0.23604915663881496,-15.245507790815003
1.105,-15.231819822783915,-0.23651931344704102,-0.23648648427653668,-15.234148511422877
1.106,-15.220472078805692,-0.23695708379589733,-0.23692441606539186,-15.222798318873835
1.107,-15.209133411628876,-0.237395457749347,-0.23736295286081846,-15.211457212567431
1.108,-15.197803820720605,-0.23783443617381553,-0.2378020955135673,-15.200125191881359
1.109,-15.186483305525513,-0.2382740199309904,-0.23824184486970099,-15.188802256171543
1.11,-15.175171865465826,-0.23871420987781639,-0.2386822017705896,-15.177488404772237
1.111,-15.163869499941462,-0.23915500686648822,-0.23912316705290304,-15.166183636996127
1.112,-15.152576208330125,-0.23959641174445057,-0.2395647415486093,-15.154887952134395
1.113,-15.141291989987398,-0.24003842535439568,-0.24000692608497384,-15.143601349456844
1.114,-15.130016844246843,-0.2404810485342547,-0.24044972148455498,-15.132323828211959
1.115,-15.118750770420098,-0.24092428211719782,-0.2408931285651953,-15.12105538762703
1.116,-15.10749376779697,-0.24136812693162985,-0.24133714814002194,-15.109796026908215
1.117,-15.09624583564554,-0.24181258380118842,-0.24178178101744774,-15.098545745240662
1.118,-15.085006973212247,-0.2422576535447364,-0.24222702800115797,-15.087304541788566
1.119,-15.073777179721988,-0.24270333697635924,-0.24267288989011346,-15.0760724156953
1.12,-15.062556454378228,-0.24314963490536906,-0.24311936747854676,-15.064849366083477
1.121,-15.051344796363079,-0.24359654813628923,-0.24356646155595274,-15.053635392055051
1.1219999999999999,-15.040142204837403,-0.2440440774688577,-0.2440141729070987,-15.04243049269143
1.123,-15.028948678940905,-0.2444922236980251,-0.24446250231200184,-15.031234667053523
1.124,-15.01776421779224,-0.244940987613947,-0.24491145054594637,-15.020047914181887
1.125,-15.006588820489101,-0.2453903700019846,-0.24536101837945998,-15.008870233096772
1.126,-14.995422486108316,-0.24584037164269457,-0.2458112065783271,-14.99770162279825
1.127,-14.984265213705948,-0.24629099331183746,-0.24626201590357893,-14.986542082266272
1.1280000000000001,-14.97311700231738,-0.24674223578036025,-0.24671344711148627,-14.975391610460804
1.129,-14.961977850957435,-0.24719409981440718,-0.24716550095356613,-14.964250206321877
1.13,-14.950847758620453,-0.24764658617530433,-0.24761817817656548,-14.953117868769702
1.131,-14.939726724280382,-0.24809969561956474,-0.24807147952247233,-14.941994596704756
1.1320000000000001,-14.928614746890897,-0.2485534288988797,-0.24852540572850104,-14.93088038900789
1.133,-14.917511825385494,-0.249007786760124,-0.24897995752709343,-14.919775244540393
1.134,-14.906417958677547,-0.24946276994533526,-0.24943513564592018,-14.908679162144107
1.135,-14.895333145660466,-0.2499183791917378,-0.2498909408078691,-14.897592140641509
1.1360000000000001,-14.884257385207745,-0.25037461523171334,-0.25034737373105015,-14.88651417883581
1.137,-14.873190676173078,-0.25083147879281115,-0.2508044351287828,-14.875445275511048
1.138,-14.862133017390466,-0.2512889705977428,-0.2512621257096044,-14.864385429432172
1.139,-14.85108440767428,-0.251747091364383,-0.25172044617726,-14.853334639345132
1.1400000000000001,-14.840044845819387,-0.2522058418057583,-0.2521793972306991,-14.842292903976993
1.141,-14.82901433060125,-0.2526652226300476,-0.2526389795640802,-14.831260222036013
1.142,-14.817992860775995,-0.25312523454058533,-0.2530991938667536,-14.820236592211728
1.143,-14.806980435080526,-0.25358587823585144,-0.2535600408232763,-14.809222013175056
1.1440000000000001,-14.795977052232628,-0.25404715440946574,-0.25402152111339116,-14.798216483578381
1.145,-14.784982710931054,-0.25450906375019794,-0.2544836354120402,-14.787220002055669
1.146,-14.773997409855621,-0.2549716069419491,-0.25494638438935063,-14.776232567222529
1.147,-14.7630211476673,-0.25543478466376146,-0.2554097687106383,-14.765254177676308
1.148,-14.752053923008337,-0.25589859758980776,-0.2558737890363984,-14.754284831996216
1.149,-14.741095734502315,-0.2563630463893955,-0.25633844602231515,-14.743324528743386
