freq_ghz,s11_re,s11_im,s11_db,zin_re_ohm,zin_im_ohm
1.4808,0.08822836881454589,0.23421463292749867,-12.031431249948394,105.77478930427019,52.859142678052976
1.4816,0.08901996440739063,0.2339055437154627,-12.031735061864335,105.96511722398834,52.884125720007
1.4824,0.08980706453939624,0.23359234306789814,-12.032127927021413,106.15534840733868,52.907805580889935
1.4832,0.09058966237399625,0.23327507007414533,-12.032609627247922,106.3454748765731,52.930182470733115
1.484,0.09136775128212349,0.23295376362116643,-12.033179948118544,106.53548863224853,52.95125664547894
1.4848,0.09214132483933717,0.23262846239443588,-12.033838678937663,106.72538165357832,52.97102840754854
1.4856,0.09291037682298435,0.2322992048788401,-12.034585612722811,106.91514589879276,52.98949810640572
1.4864,0.09367490120939695,0.23196602935958638,-12.035420546188224,107.10477330550775,53.00666613911718
1.4872,0.09443489217112647,0.23162897392311776,-12.036343279728658,107.29425579110305,53.02253295090857
1.488,0.09519034407421033,0.23128807645803803,-12.037353617403259,107.4835852531088,53.03709903571672
1.4888,0.09594125147547658,0.23094337465604192,-12.038451366919675,107.67275356960101,53.05036493673759
1.4896,0.09668760911988035,0.23059490601285376,-12.039636339618303,107.86175259960606,53.062331246969855
1.4904,0.0974294119378746,0.2302427078291727,-12.040908350456716,108.05057418351313,53.07299860975422
1.4912,0.09816665504281652,0.22988681721162366,-12.042267217994258,108.23921014349641,53.082367719308095
1.492,0.09889933372840422,0.22952727107371548,-12.043712764376828,108.4276522839452,53.09043932125566
1.4928,0.0996274434661493,0.22916410613680385,-12.045244815321844,108.61589239190299,53.09721421315302
1.4936,0.10035097990288012,0.22879735893106093,-12.046863200103362,108.80392223751512,53.102693245008766
1.4944,0.10106993885827738,0.22842706579644978,-12.048567751537412,108.99173357448485,53.10687731979909
1.4952,0.1017843163224435,0.2280532628837033,-12.050358305967517,109.17931814053837,53.10976739397806
1.496,0.10249410845350088,0.2276759861553094,-12.05223470325038,109.36666765789793,53.1113644779826
1.4968,0.10319931157522405,0.2272952713864991,-12.05419678674177,109.55377383376357,53.1116696367318
1.4976,0.10389992217470123,0.22691115416624033,-12.056244403282609,109.74062836080357,53.11068399012116
1.4984,0.10459593690002608,0.2265236698982347,-12.058377403185254,109.92722291765268,53.10840871351065
