freq_ghz,bare_zdiff_re,bare_zdiff_im,s1_zdiff_re,s1_zdiff_im,bare_branch_nf_db,s1_branch_nf_db,delta_nf_db,bare_branch_te_k,s1_branch_te_k,delta_te_k,bare_branch_zs_re,bare_branch_zs_im,s1_branch_zs_re,s1_branch_zs_im,nfmin_db
1.4296,221.93636529012974,-60.43617577985218,221.399823956946,-56.09380142036279,0.28182259989589387,0.2772535158773071,-0.004569084018586744,19.442711465800397,19.117327119013225,-0.3253843467871711,110.96818264506487,-30.21808788992609,110.699911978473,-28.046900710181394,0.17000000000000046
1.4304,221.29780339653547,-60.93425176790393,220.76536806356367,-56.577784494572754,0.2818398064803835,0.27722858836706726,-0.004611218113316218,19.443937468646176,19.115552861327664,-0.3283846073185117,110.64890169826774,-30.467125883951965,110.38268403178184,-28.288892247286377,0.17000000000000046
1.4312,220.6576635827459,-61.42608908555753,220.12942977739374,-57.05565420682791,0.28185678486623184,0.2772034605771341,-0.00465332428909776,19.445147216652995,19.113764358703186,-0.3313828579498086,110.32883179137295,-30.713044542778764,110.06471488869687,-28.527827103413955,0.17000000000000046
1.432,220.01601366151877,-61.91170654735181,219.49207440359672,-57.52742966909311,0.2818735346247526,0.27717813254034224,-0.004695402084410383,19.446340679085147,19.1119616137242,-0.3343790653609453,110.00800683075938,-30.955853273675906,109.74603720179836,-28.763714834546555,0.17000000000000046
1.4328,219.37292071600857,-62.39112368495215,218.8533665371283,-57.993130666254956,0.28189005535383943,0.27715260431558886,-0.004737451038250573,19.447517827102896,19.110144630832025,-0.33737319627087103,109.68646035800428,-31.195561842476074,109.42668326856415,-28.996565333127478,0.17000000000000046
1.4336,218.72845109514046,-62.86436072919417,218.21337005874588,-58.45277763904404,0.28190634667783376,0.27712687598771607,-0.004779470690117693,19.44867863375317,19.108313416316488,-0.34036521743668047,109.36422554757023,-31.432180364597084,109.10668502937294,-29.22638881952202,0.17000000000000046
1.4344,218.08267040936977,-63.33143859223873,217.57214813137256,-58.90639166707028,0.2819224082473953,0.27710094766738597,-0.004821460580009318,19.44982307396032,19.106467978306945,-0.34335509565337574,109.04133520468488,-31.665719296119367,108.78607406568628,-29.45319583353514,0.17000000000000046
1.4352,217.4356435268231,-63.792378849840674,216.92976319681648,-59.35399445197453,0.2819382397393791,0.277074819490963,-0.004863420248416073,19.450951124517463,19.10460832676389,-0.3463427977535716,108.71782176341155,-31.896189424920337,108.46488159840824,-29.676997225987265,0.17000000000000046
1.436,216.787434569811,-64.24720372374318,216.28627697283315,-59.79560830070677,0.28195384085670494,0.2770484916203925,-0.004905349236312417,19.452062764077176,19.102734473470196,-0.3493282906069801,108.3937172849055,-32.12360186187159,108.14313848641658,-29.897804150353384,0.17000000000000046
1.4368,216.13810691170696,-64.69593606420096,215.64175045052764,-60.23125610893252,0.28196921132823366,0.27702196424308323,-0.00494724708515043,19.453157973142762,19.100846432022752,-0.3523115411200095,108.06905345585348,-32.34796803210048,107.82087522526382,-30.11562805446626,0.17000000000000046
